timestamp,algorithm,run,memory_kb,cpu_percent,elapsed_time,user_time,system_time
2026-04-17T19:37:02.400171,ML-KEM-768,9,1680,100,0:00.20,0.2,0.0
2026-04-17T19:37:02.611594,ML-KEM-768,10,1616,100,0:00.20,0.2,0.0
2026-04-17T19:37:02.823161,ML-KEM-768,11,1680,99,0:00.20,0.2,0.0
2026-04-17T19:37:03.036215,ML-KEM-768,12,1680,100,0:00.21,0.21,0.0
2026-04-17T19:37:03.247648,ML-KEM-768,13,1616,100,0:00.20,0.2,0.0
2026-04-17T19:37:03.458918,ML-KEM-768,14,1616,100,0:00.20,0.2,0.0
2026-04-17T19:37:03.671717,ML-KEM-768,15,1680,100,0:00.21,0.2,0.0
2026-04-17T19:37:03.883299,ML-KEM-768,16,1680,99,0:00.20,0.2,0.0
2026-04-17T19:37:04.095361,ML-KEM-768,17,1612,100,0:00.20,0.2,0.0
2026-04-17T19:37:04.308992,ML-KEM-768,18,1616,99,0:00.21,0.21,0.0
2026-04-17T19:37:04.521513,ML-KEM-768,19,1680,100,0:00.20,0.2,0.0
2026-04-17T19:37:04.733769,ML-KEM-768,20,1668,99,0:00.20,0.2,0.0
2026-04-17T19:37:04.945390,ML-KEM-768,21,1680,99,0:00.20,0.2,0.0
2026-04-17T19:37:05.157339,ML-KEM-768,22,1616,99,0:00.20,0.2,0.0
2026-04-17T19:37:05.370216,ML-KEM-768,23,1616,99,0:00.21,0.2,0.0
2026-04-17T19:37:05.585119,ML-KEM-768,24,1672,99,0:00.21,0.21,0.0
2026-04-17T19:37:05.796565,ML-KEM-768,25,1612,99,0:00.20,0.2,0.0
2026-04-17T19:37:06.008909,ML-KEM-768,26,1612,99,0:00.20,0.2,0.0
2026-04-17T19:37:06.220661,ML-KEM-768,27,1616,99,0:00.20,0.2,0.0
2026-04-17T19:37:06.431800,ML-KEM-768,28,1668,100,0:00.20,0.2,0.0
2026-04-17T19:37:06.683081,ML-KEM-768,29,1616,100,0:00.24,0.24,0.0
2026-04-17T19:37:06.895013,ML-KEM-768,30,1672,100,0:00.20,0.2,0.0
2026-04-17T19:37:07.037779,Kyber512,1,1536,95,0:00.14,0.13,0.0
2026-04-17T19:37:07.175730,Kyber512,2,1552,99,0:00.13,0.12,0.0
2026-04-17T19:37:07.313577,Kyber512,3,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:07.451803,Kyber512,4,1552,99,0:00.13,0.13,0.0
2026-04-17T19:37:07.590038,Kyber512,5,1536,100,0:00.13,0.13,0.0
2026-04-17T19:37:07.727693,Kyber512,6,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:07.866362,Kyber512,7,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:08.003939,Kyber512,8,1552,99,0:00.13,0.13,0.0
2026-04-17T19:37:08.141516,Kyber512,9,1552,99,0:00.13,0.12,0.0
2026-04-17T19:37:08.279838,Kyber512,10,1552,99,0:00.13,0.13,0.0
2026-04-17T19:37:08.417955,Kyber512,11,1536,99,0:00.13,0.13,0.0
2026-04-17T19:37:08.555645,Kyber512,12,1544,99,0:00.13,0.12,0.0
2026-04-17T19:37:08.693429,Kyber512,13,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:08.831112,Kyber512,14,1552,99,0:00.13,0.13,0.0
2026-04-17T19:37:08.968599,Kyber512,15,1552,98,0:00.13,0.12,0.0
2026-04-17T19:37:09.106671,Kyber512,16,1552,99,0:00.13,0.13,0.0
2026-04-17T19:37:09.244556,Kyber512,17,1552,99,0:00.13,0.12,0.01
2026-04-17T19:37:09.382044,Kyber512,18,1552,100,0:00.13,0.13,0.0
2026-04-17T19:37:09.520020,Kyber512,19,1548,100,0:00.13,0.12,0.0
