timestamp,algorithm,run,memory_kb,cpu_percent,elapsed_time,user_time,system_time
2026-04-17T21:10:25.046266,ML-DSA-65,17,1352,100,0:02.40,2.4,0.0
2026-04-17T21:10:27.418197,ML-DSA-65,18,1368,100,0:02.36,2.36,0.0
2026-04-17T21:10:29.859649,ML-DSA-65,19,1304,99,0:02.43,2.43,0.0
2026-04-17T21:10:32.254041,ML-DSA-65,20,1368,99,0:02.39,2.38,0.0
2026-04-17T21:10:34.607043,ML-DSA-65,21,1352,99,0:02.35,2.34,0.0
2026-04-17T21:10:36.945438,ML-DSA-65,22,1304,100,0:02.33,2.33,0.0
2026-04-17T21:10:39.370722,ML-DSA-65,23,1304,99,0:02.42,2.41,0.0
2026-04-17T21:10:41.705551,ML-DSA-65,24,1184,99,0:02.33,2.33,0.0
2026-04-17T21:10:44.114668,ML-DSA-65,25,1368,99,0:02.40,2.4,0.0
2026-04-17T21:10:46.508601,ML-DSA-65,26,1304,99,0:02.39,2.38,0.0
2026-04-17T21:10:48.928785,ML-DSA-65,27,1368,99,0:02.41,2.41,0.0
2026-04-17T21:10:51.325783,ML-DSA-65,28,1304,99,0:02.39,2.38,0.01
2026-04-17T21:10:53.753191,ML-DSA-65,29,1368,99,0:02.42,2.42,0.0
2026-04-17T21:10:56.156963,ML-DSA-65,30,1368,99,0:02.40,2.39,0.0
2026-04-17T21:10:56.936628,Dilithium2,1,1428,100,0:00.77,0.76,0.0
2026-04-17T21:10:57.725207,Dilithium2,2,1368,99,0:00.78,0.78,0.0
2026-04-17T21:10:58.523643,Dilithium2,3,1428,99,0:00.79,0.79,0.0
2026-04-17T21:10:59.335144,Dilithium2,4,1424,99,0:00.80,0.79,0.0
2026-04-17T21:11:00.120141,Dilithium2,5,1360,100,0:00.78,0.78,0.0
2026-04-17T21:11:00.916690,Dilithium2,6,1424,99,0:00.79,0.78,0.0
2026-04-17T21:11:01.701831,Dilithium2,7,1428,100,0:00.78,0.78,0.0
2026-04-17T21:11:02.502550,Dilithium2,8,1368,99,0:00.79,0.79,0.0
2026-04-17T21:11:03.293334,Dilithium2,9,1428,99,0:00.78,0.78,0.0
2026-04-17T21:11:04.134756,Dilithium2,10,1356,99,0:00.83,0.83,0.0
2026-04-17T21:11:04.931418,Dilithium2,11,1368,100,0:00.79,0.79,0.0
2026-04-17T21:11:05.728486,Dilithium2,12,1428,99,0:00.79,0.79,0.0
2026-04-17T21:11:06.531721,Dilithium2,13,1368,100,0:00.80,0.79,0.0
2026-04-17T21:11:07.317593,Dilithium2,14,1428,99,0:00.78,0.77,0.0
2026-04-17T21:11:08.116869,Dilithium2,15,1428,99,0:00.79,0.79,0.0
2026-04-17T21:11:08.904853,Dilithium2,16,1428,99,0:00.78,0.77,0.0
2026-04-17T21:11:09.694134,Dilithium2,17,1368,99,0:00.78,0.78,0.0
2026-04-17T21:11:10.494055,Dilithium2,18,1368,100,0:00.79,0.79,0.0
2026-04-17T21:11:11.298944,Dilithium2,19,1356,99,0:00.80,0.8,0.0
2026-04-17T21:11:12.100841,Dilithium2,20,1368,99,0:00.79,0.79,0.0
2026-04-17T21:11:12.884953,Dilithium2,21,1428,100,0:00.78,0.78,0.0
2026-04-17T21:11:13.671079,Dilithium2,22,1368,99,0:00.78,0.77,0.0
2026-04-17T21:11:14.504723,Dilithium2,23,1428,99,0:00.83,0.83,0.0
2026-04-17T21:11:15.300397,Dilithium2,24,1360,99,0:00.79,0.78,0.0
2026-04-17T21:11:16.096343,Dilithium2,25,1428,100,0:00.79,0.79,0.0
2026-04-17T21:11:16.889047,Dilithium2,26,1424,99,0:00.79,0.78,0.0
2026-04-17T21:11:17.682335,Dilithium2,27,1368,99,0:00.79,0.78,0.0
2026-04-17T21:11:18.471801,Dilithium2,28,1428,100,0:00.78,0.78,0.0
2026-04-17T21:11:19.298926,Dilithium2,29,1428,100,0:00.82,0.82,0.0
2026-04-17T21:11:20.091316,Dilithium2,30,1428,100,0:00.78,0.78,0.0
